layer_name,layer_type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
Conv_0,Conv,64,3,224,224,11,11,4,4,2,2,2,2
MaxPool_2,MaxPool,64,64,55,55,3,3,2,2,0,0,0,0
Conv_3,Conv,192,64,27,27,5,5,1,1,2,2,2,2
MaxPool_5,MaxPool,192,192,27,27,3,3,2,2,0,0,0,0
Conv_6,Conv,384,192,13,13,3,3,1,1,1,1,1,1
Conv_8,Conv,256,384,13,13,3,3,1,1,1,1,1,1
Conv_10,Conv,256,256,13,13,3,3,1,1,1,1,1,1
MaxPool_12,MaxPool,256,256,13,13,3,3,2,2,0,0,0,0
Gemm_14,Fc,4096,9216,1,1,1,1,1,1,0,0,0,0
Gemm_16,Fc,4096,4096,1,1,1,1,1,1,0,0,0,0
Gemm_18,Fc,1024,4096,1,1,1,1,1,1,0,0,0,0
