layer_name,layer_type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
Conv_0,Conv,64,3,224,224,7,7,2,2,3,3,3,3
MaxPool_2,MaxPool,64,64,112,112,3,3,2,2,1,1,1,1
Conv_3,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Conv_5,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Add_6,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_8,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Conv_10,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Add_11,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_13,Conv,128,64,56,56,3,3,2,2,1,1,1,1
Conv_15,Conv,128,128,28,28,3,3,1,1,1,1,1,1
Conv_16,Conv,128,64,56,56,1,1,2,2,0,0,0,0
Add_17,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_19,Conv,128,128,28,28,3,3,1,1,1,1,1,1
Conv_21,Conv,128,128,28,28,3,3,1,1,1,1,1,1
Add_22,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_24,Conv,256,128,28,28,3,3,2,2,1,1,1,1
Conv_26,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Conv_27,Conv,256,128,28,28,1,1,2,2,0,0,0,0
Add_28,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_30,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Conv_32,Conv,256,256,14,14,3,3,1,1,1,1,1,1
Add_33,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_35,Conv,512,256,14,14,3,3,2,2,1,1,1,1
Conv_37,Conv,512,512,7,7,3,3,1,1,1,1,1,1
Conv_38,Conv,512,256,14,14,1,1,2,2,0,0,0,0
Add_39,Add,0,0,0,0,0,0,0,0,0,0,0,0
Conv_41,Conv,512,512,7,7,3,3,1,1,1,1,1,1
Conv_43,Conv,512,512,7,7,3,3,1,1,1,1,1,1
Add_44,Add,0,0,0,0,0,0,0,0,0,0,0,0
GlobalAveragePool_46,AveragePool,512,512,7,7,7,7,1,1,0,0,0,0
Gemm_48,Fc,1024,512,1,1,1,1,1,1,0,0,0,0
