layer_name,layer_type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
Conv_0,Conv,32,3,224,224,3,3,2,2,1,1,1,1
Conv_2,Conv,64,32,112,112,3,3,2,2,1,1,1,1
Conv_4,Conv,64,64,56,56,1,1,1,1,0,0,0,0
Conv_6,Conv,32,64,56,56,3,3,1,1,1,1,1,1
Conv_8,Conv,64,32,56,56,1,1,1,1,0,0,0,0
Conv_10,Conv,32,64,56,56,3,3,1,1,1,1,1,1
Conv_13,Conv,64,128,56,56,1,1,1,1,0,0,0,0
Conv_15,Conv,64,64,56,56,3,3,1,1,1,1,1,1
Conv_17,Conv,64,64,56,56,1,1,1,1,0,0,0,0
Conv_19,Conv,32,64,56,56,3,3,1,1,1,1,1,1
Conv_21,Conv,64,32,56,56,1,1,1,1,0,0,0,0
Conv_23,Conv,32,64,56,56,3,3,1,1,1,1,1,1
Conv_26,Conv,128,192,56,56,1,1,1,1,0,0,0,0
Conv_28,Conv,160,128,56,56,3,3,2,2,1,1,1,1
Conv_30,Conv,160,144,28,28,1,1,1,1,0,0,0,0
Conv_32,Conv,96,144,28,28,3,3,1,1,1,1,1,1
Conv_34,Conv,160,72,28,28,1,1,1,1,0,0,0,0
Conv_36,Conv,96,144,28,28,3,3,1,1,1,1,1,1
Conv_39,Conv,160,288,28,28,1,1,1,1,0,0,0,0
Conv_41,Conv,160,144,28,28,3,3,1,1,1,1,1,1
Conv_43,Conv,160,144,28,28,1,1,1,1,0,0,0,0
Conv_45,Conv,96,144,28,28,3,3,1,1,1,1,1,1
Conv_47,Conv,160,72,28,28,1,1,1,1,0,0,0,0
Conv_49,Conv,96,144,28,28,3,3,1,1,1,1,1,1
Conv_52,Conv,288,432,28,28,1,1,1,1,0,0,0,0
Conv_54,Conv,320,288,28,28,3,3,2,2,1,1,1,1
Conv_56,Conv,320,304,14,14,1,1,1,1,0,0,0,0
Conv_58,Conv,160,304,14,14,3,3,1,1,1,1,1,1
Conv_60,Conv,320,152,14,14,1,1,1,1,0,0,0,0
Conv_62,Conv,160,304,14,14,3,3,1,1,1,1,1,1
Conv_65,Conv,320,608,14,14,1,1,1,1,0,0,0,0
Conv_67,Conv,320,304,14,14,3,3,1,1,1,1,1,1
Conv_69,Conv,320,304,14,14,1,1,1,1,0,0,0,0
Conv_71,Conv,160,304,14,14,3,3,1,1,1,1,1,1
Conv_73,Conv,320,152,14,14,1,1,1,1,0,0,0,0
Conv_75,Conv,160,304,14,14,3,3,1,1,1,1,1,1
Conv_78,Conv,480,912,14,14,1,1,1,1,0,0,0,0
Conv_80,Conv,960,480,14,14,3,3,2,2,1,1,1,1
Conv_82,Conv,1024,960,7,7,3,3,1,1,1,1,1,1
Conv_84,Conv,1280,1024,7,7,3,3,2,2,1,1,1,1
Conv_86,Conv,1024,1280,4,4,1,1,1,1,0,0,0,0
AveragePool_89,AveragePool,1024,1024,4,4,4,4,1,1,0,0,0,0
Gemm_91,Fc,1024,1024,1,1,1,1,1,1,0,0,0,0
