layer_name,latency_ns
Conv_0,56768
Conv_2,143856
Conv_4,34096
Conv_6,142880
Conv_8,25828
Conv_10,142880
Conv_13,65456
Conv_15,284976
Conv_17,34100
Conv_19,142876
Conv_21,25828
Conv_23,142880
Conv_26,192856
Conv_28,362028
Conv_30,47028
Conv_32,244528
Conv_34,24528
Conv_36,244528
Conv_39,92028
Conv_41,407028
Conv_43,47028
Conv_45,244528
Conv_47,24528
Conv_49,244528
Conv_52,246028
Conv_54,455076
Conv_56,54680
Conv_58,240528
Conv_60,28080
Conv_62,240528
Conv_65,107880
Conv_67,480276
Conv_69,54676
Conv_71,240528
Conv_73,28080
Conv_75,240528
Conv_78,241228
Conv_80,649376
Conv_82,1383820
Conv_84,922776
Conv_86,103496
AveragePool_89,16768
Gemm_91,66096
