layer_name,layer_type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
Conv_0,Conv,64,3,224,224,3,3,1,1,1,1,1,1
MaxPool_2,MaxPool,64,64,224,224,2,2,2,2,0,0,0,0
Conv_3,Conv,128,64,112,112,3,3,1,1,1,1,1,1
MaxPool_5,MaxPool,128,128,112,112,2,2,2,2,0,0,0,0
Conv_6,Conv,256,128,56,56,3,3,1,1,1,1,1,1
Conv_8,Conv,256,256,56,56,3,3,1,1,1,1,1,1
MaxPool_10,MaxPool,256,256,56,56,2,2,2,2,0,0,0,0
Conv_11,Conv,512,256,28,28,3,3,1,1,1,1,1,1
Conv_13,Conv,512,512,28,28,3,3,1,1,1,1,1,1
MaxPool_15,MaxPool,512,512,28,28,2,2,2,2,0,0,0,0
Conv_16,Conv,512,512,14,14,3,3,1,1,1,1,1,1
Conv_18,Conv,512,512,14,14,3,3,1,1,1,1,1,1
MaxPool_20,MaxPool,512,512,14,14,2,2,2,2,0,0,0,0
Gemm_23,Fc,4096,25088,1,1,1,1,1,1,0,0,0,0
Gemm_25,Fc,4096,4096,1,1,1,1,1,1,0,0,0,0
Gemm_27,Fc,1024,4096,1,1,1,1,1,1,0,0,0,0
