layer_name,latency_ns
Conv_0,112768
Conv_2,1137576
Conv_4,569180
Conv_6,567216
Conv_8,284976
Conv_10,284980
Conv_12,284976
Conv_14,284976
Conv_17,443740
MaxPool_19,48616
Conv_20,217528
Conv_22,136528
Conv_24,136528
Conv_26,136528
Conv_28,136528
Conv_31,266776
MaxPool_33,21160
Conv_34,121948
Conv_36,46348
Conv_38,46348
Conv_40,46348
Conv_42,46348
Conv_45,156176
MaxPool_47,7700
Conv_48,69980
Conv_50,21020
Conv_52,21016
Conv_54,21016
Conv_56,21020
Conv_59,76616
AveragePool_61,25472
Gemm_63,33328
