layer_name,layer_type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
Conv_0,Conv,96,3,224,224,7,7,2,2,1,1,1,1
MaxPool_2,MaxPool,96,96,110,110,3,3,2,2,0,2,0,2
Conv_3,Conv,256,96,55,55,5,5,2,2,0,0,0,0
MaxPool_5,MaxPool,256,256,26,26,3,3,2,2,0,2,0,2
Conv_6,Conv,512,256,13,13,3,3,1,1,1,1,1,1
Conv_8,Conv,1024,512,13,13,3,3,1,1,1,1,1,1
Conv_10,Conv,512,1024,13,13,3,3,1,1,1,1,1,1
MaxPool_12,MaxPool,512,512,13,13,3,3,2,2,0,1,0,1
Gemm_14,Fc,4096,18432,1,1,1,1,1,1,0,0,0,0
Gemm_16,Fc,4096,4096,1,1,1,1,1,1,0,0,0,0
Gemm_18,Fc,1024,4096,1,1,1,1,1,1,0,0,0,0
